,Customer_ID,Purchase_Date,Product,Category,Sales_Amount,Region
0,CUST0164,2024-01-01,Phone,Electronics,598.34,East
1,CUST0029,2024-01-02,Tablet,Accessories,564.21,South
2,CUST0007,2024-01-03,Laptop,Accessories,1084.47,North
3,CUST0190,2024-01-04,Smartwatch,Electronics,353.05,West
4,CUST0071,2024-01-05,Phone,Accessories,925.5,West
5,CUST0063,2024-01-06,Tablet,Accessories,1490.19,West
6,CUST0058,2024-01-07,Laptop,Electronics,1536.52,East
7,CUST0036,2024-01-08,Laptop,Electronics,1108.46,West
8,CUST0189,2024-01-09,Smartwatch,Electronics,244.16,West
9,CUST0027,2024-01-10,Tablet,Accessories,246.13,West
10,CUST0174,2024-01-11,Phone,Electronics,1554.72,South
11,CUST0190,2024-01-12,Headphones,Accessories,1650.1,North
12,CUST0140,2024-01-13,Laptop,Electronics,746.39,South
13,CUST0023,2024-01-14,Laptop,Electronics,1648.77,North
14,CUST0152,2024-01-15,Smartwatch,Electronics,102.39,South
15,CUST0109,2024-01-16,Tablet,Electronics,1443.58,North
16,CUST0009,2024-01-17,Headphones,Accessories,1101.78,West
17,CUST0008,2024-01-18,Headphones,Accessories,1979.76,West
18,CUST0024,2024-01-19,Headphones,Accessories,222.78,West
19,CUST0056,2024-01-20,Tablet,Accessories,1663.54,South
20,CUST0060,2024-01-21,Phone,Accessories,1507.66,West
21,CUST0130,2024-01-22,Laptop,Electronics,609.46,East
22,CUST0155,2024-01-23,Tablet,Electronics,1998.64,North
23,CUST0007,2024-01-24,Headphones,Accessories,910.47,South
24,CUST0144,2024-01-25,Laptop,Accessories,710.18,West
25,CUST0051,2024-01-26,Laptop,Electronics,1637.12,West
26,CUST0184,2024-01-27,Headphones,Accessories,889.36,North
27,CUST0167,2024-01-28,Headphones,Accessories,1988.04,West
28,CUST0180,2024-01-29,Laptop,Electronics,1555.75,West
29,CUST0140,2024-01-30,Smartwatch,Accessories,489.15,North
30,CUST0108,2024-01-31,Laptop,Accessories,1625.19,North
31,CUST0057,2024-02-01,Phone,Accessories,1184.09,East
32,CUST0115,2024-02-02,Phone,Accessories,714.25,East
33,CUST0151,2024-02-03,Smartwatch,Accessories,1427.29,North
34,CUST0072,2024-02-04,Tablet,Accessories,1272.89,South
35,CUST0002,2024-02-05,Laptop,Electronics,348.64,East
36,CUST0195,2024-02-06,Phone,Accessories,295.69,North
37,CUST0041,2024-02-07,Laptop,Accessories,429.11,West
38,CUST0179,2024-02-08,Smartwatch,Accessories,429.75,South
39,CUST0109,2024-02-09,Headphones,Accessories,137.53,West
40,CUST0088,2024-02-10,Smartwatch,Electronics,714.61,East
41,CUST0072,2024-02-11,Smartwatch,Accessories,576.55,West
42,CUST0040,2024-02-12,Smartwatch,Electronics,1086.76,South
43,CUST0056,2024-02-13,Phone,Accessories,660.83,North
44,CUST0196,2024-02-14,Smartwatch,Electronics,1414.03,North
45,CUST0087,2024-02-15,Headphones,Accessories,592.88,South
46,CUST0027,2024-02-16,Headphones,Accessories,549.34,West
